timestamp;electricity_demand_rate_W;produced_electricity_rate_W;drybulb_C;relhum_percent;Global Horizontal Radiation;dni_Wm2;dhi_Wm2;Wind Speed (m/s);wdir_deg;ev_status;tar_s;tar_w;tar_sw;tar_flat;tar_tou;ev_conn;ev_arrival;ev_departure
23/07/2000 23:15;1061.439387;0.0;17.75885996;75.7352334;0.0;0.0;0.0;1.508756742;287.6802957;0.7308853756377092;0.3222;0.2910755748;0.3132755747999999;0.3;0.21;1;0.2691146243622908;0.1546074843229768
23/07/2000 23:20;1602.999799;0.0;17.70886519;75.81855802;0.0;0.0;0.0;1.600413817;282.430845;0.7308853756377092;0.3222;0.2910755748;0.3132755747999999;0.3;0.21;1;0.2691146243622908;0.1546074843229768
23/07/2000 23:25;1194.824083;0.0;17.65887042;75.90188263;0.0;0.0;0.0;1.692070891;277.1813944;0.7308853756377092;0.3222;0.2910755748;0.3132755747999999;0.3;0.21;1;0.2691146243622908;0.1546074843229768
23/07/2000 23:30;653.2636713;0.0;17.60887566;75.98520724;0.0;0.0;0.0;1.783727965;271.9319438;0.7308853756377092;0.3222;0.2910755748;0.3132755747999999;0.3;0.21;1;0.2691146243622908;0.1546074843229768
23/07/2000 23:35;111.7032597;0.0;17.52461496;76.20559556;0.0;0.0;0.0;1.779440444;271.0685319;0.7308853756377092;0.3222;0.2910755748;0.3132755747999999;0.3;0.21;1;0.2691146243622908;0.1546074843229768
23/07/2000 23:40;44.98;0.0;17.43295789;76.4555694;0.0;0.0;0.0;1.75444306;271.1518565;0.7308853756377092;0.3222;0.2910755748;0.3132755747999999;0.3;0.21;1;0.2691146243622908;0.1546074843229768
23/07/2000 23:45;44.98;0.0;17.34130081;76.70554324;0.0;0.0;0.0;1.729445676;271.2351811;0.7308853756377092;0.3222;0.2910755748;0.3132755747999999;0.3;0.21;1;0.2691146243622908;0.1546074843229768
23/07/2000 23:50;44.98;0.0;17.24964374;76.95551708;0.0;0.0;0.0;1.704448292;271.3185057;0.7308853756377092;0.3222;0.2910755748;0.3132755747999999;0.3;0.21;1;0.2691146243622908;0.1546074843229768
23/07/2000 23:55;44.98;0.0;17.15798666;77.20549092;0.0;0.0;0.0;1.679450908;271.4018303;0.7308853756377092;0.3222;0.2910755748;0.3132755747999999;0.3;0.21;1;0.2691146243622908;0.1546074843229768
24/07/2000 00:00;44.98;0.0;17.06632959;77.45546476;0.0;0.0;0.0;1.654453524;271.4851549;0.7308853756377092;0.3222;0.2924432622;0.3146432622;0.3;0.21;1;0.2691146243622908;0.1546074843229768
24/07/2000 00:05;44.98;0.0;16.97467251;77.7054386;0.0;0.0;0.0;1.62945614;271.5684795;0.7308853756377092;0.3222;0.2924432622;0.3146432622;0.3;0.21;1;0.2691146243622908;0.1546074843229768
24/07/2000 00:10;44.98;0.0;16.88301544;77.95541244;0.0;0.0;0.0;1.604458756;271.6518041;0.7308853756377092;0.3222;0.2924432622;0.3146432622;0.3;0.21;1;0.2691146243622908;0.1546074843229768
24/07/2000 00:15;44.98;0.0;16.79135837;78.20538628;0.0;0.0;0.0;1.579461372;271.7351288;0.7308853756377092;0.3222;0.2924432622;0.3146432622;0.3;0.21;1;0.2691146243622908;0.1546074843229768
24/07/2000 00:20;44.98;0.0;16.69970129;78.45536012;0.0;0.0;0.0;1.554463988;271.8184534;0.7308853756377092;0.3222;0.2924432622;0.3146432622;0.3;0.21;1;0.2691146243622908;0.1546074843229768
24/07/2000 00:25;44.98;0.0;16.60804422;78.70533395;0.0;0.0;0.0;1.529466605;271.901778;0.7308853756377092;0.3222;0.2924432622;0.3146432622;0.3;0.21;1;0.2691146243622908;0.1546074843229768
24/07/2000 00:30;44.98;0.0;16.51638714;78.95530779;0.0;0.0;0.0;1.504469221;271.9851026;0.7308853756377092;0.3222;0.2924432622;0.3146432622;0.3;0.21;1;0.2691146243622908;0.1546074843229768
24/07/2000 00:35;44.98;0.0;16.44525823;79.13685442;0.0;0.0;0.0;1.568427211;272.2737088;0.7308853756377092;0.3222;0.2924432622;0.3146432622;0.3;0.21;1;0.2691146243622908;0.1546074843229768
24/07/2000 00:40;44.98;0.0;16.37859854;79.30350365;0.0;0.0;0.0;1.651751824;272.6070073;0.7308853756377092;0.3222;0.2924432622;0.3146432622;0.3;0.21;1;0.2691146243622908;0.1546074843229768
24/07/2000 00:45;44.98;0.0;16.31193885;79.47015287;0.0;0.0;0.0;1.735076437;272.9403057;0.7308853756377092;0.3222;0.2924432622;0.3146432622;0.3;0.21;1;0.2691146243622908;0.1546074843229768
24/07/2000 00:50;44.98;0.0;16.24527916;79.6368021;0.0;0.0;0.0;1.81840105;273.2736042;0.7308853756377092;0.3222;0.2924432622;0.3146432622;0.3;0.21;1;0.2691146243622908;0.1546074843229768
24/07/2000 00:55;44.98;0.0;16.17861947;79.80345133;0.0;0.0;0.0;1.901725663;273.6069027;0.7308853756377092;0.3222;0.2924432622;0.3146432622;0.3;0.21;1;0.2691146243622908;0.1546074843229768
24/07/2000 01:00;44.98;0.0;16.11195978;79.97010055;0.0;0.0;0.0;1.985050276;273.9402011;0.7308853756377092;0.3222;0.2919124092;0.3141124092;0.3;0.21;1;0.2691146243622908;0.1546074843229768
24/07/2000 01:05;44.98;0.0;16.04530009;80.13674978;0.0;0.0;0.0;2.068374889;274.2734996;0.7308853756377092;0.3222;0.2919124092;0.3141124092;0.3;0.21;1;0.2691146243622908;0.1546074843229768
24/07/2000 01:10;44.98;0.0;15.9786404;80.303399;0.0;0.0;0.0;2.151699502;274.606798;0.7308853756377092;0.3222;0.2919124092;0.3141124092;0.3;0.21;1;0.2691146243622908;0.1546074843229768
24/07/2000 01:15;44.98;0.0;15.91198071;80.47004823;0.0;0.0;0.0;2.235024116;274.9400965;0.7308853756377092;0.3222;0.2919124092;0.3141124092;0.3;0.21;1;0.2691146243622908;0.1546074843229768
24/07/2000 01:20;44.98;0.0;15.84532102;80.63669746;0.0;0.0;0.0;2.318348729;275.2733949;0.7308853756377092;0.3222;0.2919124092;0.3141124092;0.3;0.21;1;0.2691146243622908;0.1546074843229768
24/07/2000 01:25;44.98;0.0;15.77866133;80.80334668;0.0;0.0;0.0;2.401673342;275.6066934;0.7308853756377092;0.3222;0.2919124092;0.3141124092;0.3;0.21;1;0.2691146243622908;0.1546074843229768
24/07/2000 01:30;44.98;0.0;15.71200164;80.96999591;0.0;0.0;0.0;2.484997955;275.9399918;0.7308853756377092;0.3222;0.2919124092;0.3141124092;0.3;0.21;1;0.2691146243622908;0.1546074843229768
24/07/2000 01:35;44.98;0.0;15.6521742;81.06832257;0.0;0.0;0.0;2.561490311;276.1366451;0.7308853756377092;0.3222;0.2919124092;0.3141124092;0.3;0.21;1;0.2691146243622908;0.1546074843229768
24/07/2000 01:40;44.98;0.0;15.59384697;81.15164718;0.0;0.0;0.0;2.636482463;276.3032944;0.7308853756377092;0.3222;0.2919124092;0.3141124092;0.3;0.21;1;0.2691146243622908;0.1546074843229768
24/07/2000 01:45;44.98;0.0;15.53551974;81.23497179;0.0;0.0;0.0;2.711474614;276.4699436;0.7308853756377092;0.3222;0.2919124092;0.3141124092;0.3;0.21;1;0.2691146243622908;0.1546074843229768
24/07/2000 01:50;44.98;0.0;15.47719252;81.31829641;0.0;0.0;0.0;2.786466766;276.6365928;0.7308853756377092;0.3222;0.2919124092;0.3141124092;0.3;0.21;1;0.2691146243622908;0.1546074843229768
24/07/2000 01:55;44.98;0.0;15.41886529;81.40162102;0.0;0.0;0.0;2.861458918;276.803242;0.7308853756377092;0.3222;0.2919124092;0.3141124092;0.3;0.21;1;0.2691146243622908;0.1546074843229768
24/07/2000 02:00;44.98;0.0;15.36053806;81.48494563;0.0;0.0;0.0;2.93645107;276.9698913;0.7308853756377092;0.3222;0.2916075204999999;0.3138075204999999;0.3;0.21;1;0.2691146243622908;0.1546074843229768
24/07/2000 02:05;44.98;0.0;15.30221083;81.56827025;0.0;0.0;0.0;3.011443221;277.1365405;0.7308853756377092;0.3222;0.2916075204999999;0.3138075204999999;0.3;0.21;1;0.2691146243622908;0.1546074843229768
24/07/2000 02:10;44.98;0.0;15.2438836;81.65159486;0.0;0.0;0.0;3.086435373;277.3031897;0.7308853756377092;0.3222;0.2916075204999999;0.3138075204999999;0.3;0.21;1;0.2691146243622908;0.1546074843229768
24/07/2000 02:15;44.98;0.0;15.18555637;81.73491947;0.0;0.0;0.0;3.161427525;277.4698389;0.7308853756377092;0.3222;0.2916075204999999;0.3138075204999999;0.3;0.21;1;0.2691146243622908;0.1546074843229768
24/07/2000 02:20;44.98;0.0;15.12722914;81.81824409;0.0;0.0;0.0;3.236419677;277.6364882;0.7308853756377092;0.3222;0.2916075204999999;0.3138075204999999;0.3;0.21;1;0.2691146243622908;0.1546074843229768
24/07/2000 02:25;44.98;0.0;15.06890191;81.9015687;0.0;0.0;0.0;3.311411828;277.8031374;0.7308853756377092;0.3222;0.2916075204999999;0.3138075204999999;0.3;0.21;1;0.2691146243622908;0.1546074843229768
24/07/2000 02:30;44.98;0.0;15.01057468;81.98489331;0.0;0.0;0.0;3.38640398;277.9697866;0.7308853756377092;0.3222;0.2916075204999999;0.3138075204999999;0.3;0.21;1;0.2691146243622908;0.1546074843229768
24/07/2000 02:35;44.98;0.0;14.94542566;82.13643585;0.0;0.0;0.0;3.379534623;277.9317821;0.7308853756377092;0.3222;0.2916075204999999;0.3138075204999999;0.3;0.21;1;0.2691146243622908;0.1546074843229768
24/07/2000 02:40;44.98;0.0;14.87876597;82.30308508;0.0;0.0;0.0;3.354537239;277.8484575;0.7308853756377092;0.3222;0.2916075204999999;0.3138075204999999;0.3;0.21;1;0.2691146243622908;0.1546074843229768
24/07/2000 02:45;44.98;0.0;14.81210628;82.4697343;0.0;0.0;0.0;3.329539855;277.7651328;0.7308853756377092;0.3222;0.2916075204999999;0.3138075204999999;0.3;0.21;1;0.2691146243622908;0.1546074843229768
24/07/2000 02:50;44.98;0.0;14.74544659;82.63638353;0.0;0.0;0.0;3.304542471;277.6818082;0.7308853756377092;0.3222;0.2916075204999999;0.3138075204999999;0.3;0.21;1;0.2691146243622908;0.1546074843229768
24/07/2000 02:55;44.98;0.0;14.6787869;82.80303275;0.0;0.0;0.0;3.279545087;277.5984836;0.7308853756377092;0.3222;0.2916075204999999;0.3138075204999999;0.3;0.21;1;0.2691146243622908;0.1546074843229768
24/07/2000 03:00;44.98;0.0;14.61212721;82.96968198;0.0;0.0;0.0;3.254547703;277.515159;0.7308853756377092;0.3222;0.2918632383;0.3140632383;0.3;0.21;1;0.2691146243622908;0.1546074843229768
24/07/2000 03:05;44.98;0.0;14.54546752;83.13633121;0.0;0.0;0.0;3.229550319;277.4318344;0.7308853756377092;0.3222;0.2918632383;0.3140632383;0.3;0.21;1;0.2691146243622908;0.1546074843229768
24/07/2000 03:10;44.98;0.0;14.47880783;83.30298043;0.0;0.0;0.0;3.204552935;277.3485098;0.7308853756377092;0.3222;0.2918632383;0.3140632383;0.3;0.21;1;0.2691146243622908;0.1546074843229768
24/07/2000 03:15;44.98;0.0;14.41214814;83.46962966;0.0;0.0;0.0;3.179555551;277.2651852;0.7308853756377092;0.3222;0.2918632383;0.3140632383;0.3;0.21;1;0.2691146243622908;0.1546074843229768
