,Pgrid,Ppv,Load,PBESS,EBESS,Pev,Eev,ev_status,chi_pv,tariff,pv_available,pv_used
2000-01-08 09:05:00,2.658307697668361,0.024467108353636902,0.2084826161,2.474292189921998,0.6953814650354914,0.0,0.0,0.0,0.0,0.7,0.024467108353636902,0.024467108353636902
2000-01-08 09:10:00,5.0,0.02905792879299846,0.2084826161,4.820575312692999,1.0763149624919848,0.0,0.0,0.0,0.0,0.7,0.02905792879299846,0.02905792879299846
2000-01-08 09:15:00,5.0,0.0336487492323617,0.2084826161,4.825166133132362,1.4572309664024716,0.0,0.0,0.0,0.0,0.7,0.0336487492323617,0.0336487492323617
2000-01-08 09:20:00,5.0,0.036897741227558345,0.2084826161,4.8284151251275595,1.8380232661753342,0.0,0.0,0.0,0.0,0.7,0.036897741227558345,0.036897741227558345
2000-01-08 09:25:00,5.0,0.040090140239999995,0.2084826161,4.831607524140001,2.2186875052369084,0.0,0.0,0.0,0.0,0.7,0.040090140239999995,0.040090140239999995
2000-01-08 09:30:00,5.0,0.04328253924883445,0.2084826161,4.834799923148835,2.5992238116476205,0.0,0.0,0.0,0.0,0.7,0.04328253924883445,0.04328253924883445
2000-01-08 09:35:00,5.0,0.04648124585192407,0.2084826161,4.837998629751925,2.979632812691334,0.0,0.0,0.0,0.0,0.7,0.04648124585192407,0.04648124585192407
2000-01-08 09:40:00,5.0,0.04968021887523087,0.2084826161,4.841197602775232,3.3599146567650147,0.0,0.0,0.0,0.0,0.7,0.04968021887523087,0.04968021887523087
2000-01-08 09:45:00,5.0,0.05287919189853767,0.2084826161,4.844396575798538,3.7400694710256333,0.0,0.0,0.0,0.0,0.7,0.05287919189853767,0.05287919189853767
2000-01-08 09:50:00,5.0,0.05608431976938926,0.2084826161,4.84760170366939,4.120097869761767,0.0,0.0,0.0,0.0,0.7,0.05608431976938926,0.05608431976938926
2000-01-08 09:55:00,5.0,0.05928970799045799,0.2084826161,4.850807091890458,4.5,0.0,0.0,0.0,0.0,0.7,0.05928970799045799,0.05928970799045799
2000-01-08 10:00:00,0.14598751988847325,0.06249509621152673,0.2084826161,0.0,4.4955,0.0,0.0,0.0,0.0,1.0,0.06249509621152673,0.06249509621152673
2000-01-08 10:05:00,0.14277870107002466,0.06570391502997533,0.2084826161,0.0,4.4910045,0.0,0.0,0.0,0.0,1.0,0.06570391502997533,0.06570391502997533
2000-01-08 10:10:00,0.13956973692447,0.06891287917552998,0.2084826161,0.0,4.4865134955,0.0,0.0,0.0,0.0,1.0,0.06891287917552998,0.06891287917552998
2000-01-08 10:15:00,0.1363607727789154,0.07212184332108461,0.2084826161,0.0,4.482026982004499,0.0,0.0,0.0,0.0,1.0,0.07212184332108461,0.07212184332108461
2000-01-08 10:20:00,0.13469500938198142,0.07378760671801855,0.2084826161,0.0,4.477544955022495,0.0,0.0,0.0,0.0,1.0,0.07378760671801855,0.07378760671801855
2000-01-08 10:25:00,0.13309471482946894,0.07538790127053106,0.2084826161,0.0,4.473067410067473,0.0,0.0,0.0,0.0,1.0,0.07538790127053106,0.07538790127053106
2000-01-08 10:30:00,0.131494420276957,0.07698819582304298,0.2084826161,0.0,4.468594342657405,0.0,0.0,0.0,0.0,1.0,0.07698819582304298,0.07698819582304298
2000-01-08 10:35:00,0.1298906809338006,0.07859193516619939,0.2084826161,0.0,4.464125748314748,0.0,0.0,0.0,0.0,1.0,0.07859193516619939,0.07859193516619939
2000-01-08 10:40:00,0.1282867952349559,0.0801958208650441,0.2084826161,0.0,4.459661622566434,0.0,0.0,0.0,0.0,1.0,0.0801958208650441,0.0801958208650441
2000-01-08 10:45:00,0.12668290953611117,0.08179970656388882,0.2084826161,0.0,4.455201960943867,0.0,0.0,0.0,0.0,1.0,0.08179970656388882,0.08179970656388882
2000-01-08 10:50:00,0.12507734732999998,0.08340526877000001,0.2084826161,0.0,4.450746758982923,0.0,0.0,0.0,0.0,1.0,0.08340526877000001,0.08340526877000001
2000-01-08 10:55:00,0.12347171378865751,0.08501090231134248,0.2084826161,0.0,4.44629601222394,0.0,0.0,0.0,0.0,1.0,0.08501090231134248,0.08501090231134248
2000-01-08 11:00:00,0.12186608024877754,0.08661653585122245,0.2084826161,0.0,4.441849716211716,0.0,0.0,0.0,0.0,1.0,0.08661653585122245,0.08661653585122245
2000-01-08 11:05:00,0.12025914842464994,0.08822346767535005,0.2084826161,0.0,4.437407866495504,0.0,0.0,0.0,0.0,1.0,0.08822346767535005,0.08822346767535005
2000-01-08 11:10:00,0.11865216128040977,0.08983045481959022,0.2084826161,0.0,4.432970458629009,0.0,0.0,0.0,0.0,1.0,0.08983045481959022,0.08983045481959022
2000-01-08 11:15:00,0.11704517413616902,0.09143744196383097,0.2084826161,0.0,4.428537488170379,0.0,0.0,0.0,0.0,1.0,0.09143744196383097,0.09143744196383097
2000-01-08 11:20:00,0.11698139422311297,0.09150122187688702,0.2084826161,0.0,4.424108950682209,0.0,0.0,0.0,0.0,1.0,0.09150122187688702,0.09150122187688702
2000-01-08 11:25:00,0.11698346639,0.09149914970999999,0.2084826161,0.0,4.419684841731526,0.0,0.0,0.0,0.0,1.0,0.09149914970999999,0.09149914970999999
2000-01-08 11:30:00,0.11698553855825843,0.09149707754174156,0.2084826161,0.0,4.415265156889795,0.0,0.0,0.0,0.0,1.0,0.09149707754174156,0.09149707754174156
2000-01-08 11:35:00,0.11698611864427302,0.09149649745572697,0.2084826161,0.0,4.410849891732905,0.0,0.0,0.0,0.0,1.0,0.09149649745572697,0.09149649745572697
2000-01-08 11:40:00,0.11698663496725704,0.09149598113274295,0.2084826161,0.0,4.406439041841172,0.0,0.0,0.0,0.0,1.0,0.09149598113274295,0.09149598113274295
2000-01-08 11:45:00,0.11698715129024108,0.09149546480975891,0.2084826161,0.0,4.402032602799331,0.0,0.0,0.0,0.0,1.0,0.09149546480975891,0.09149546480975891
2000-01-08 11:50:00,0.11698845603144695,0.09149416006855304,0.2084826161,0.0,4.397630570196531,0.0,0.0,0.0,0.0,1.0,0.09149416006855304,0.09149416006855304
2000-01-08 11:55:00,0.11698979451407136,0.09149282158592863,0.2084826161,0.0,4.393232939626334,0.0,0.0,0.0,0.0,1.0,0.09149282158592863,0.09149282158592863
2000-01-08 12:00:00,0.11699113299669577,0.09149148310330422,0.2084826161,0.0,4.388839706686708,0.0,0.0,0.0,0.0,1.0,0.09149148310330422,0.09149148310330422
